"Informazioni cronologiche","Fumi?","Cosa fumi di solito?","Quanto liquido di sigaretta elettronica utilizzi in media in una settimana?","Quante sigarette fumi in media ogni settimana?","Hai mai provato a fumare nella tua vita?","Fumi abitualmente?","Chi sa che fumi?","In quale momento o situazione fumi (possibili più risposte)","Perché hai iniziato a fumare? (possibili più risposte) 
","Vorresti smettere di fumare?","Dove avete vissuto tu e i tuoi genitori per la maggior parte della vita? [Tu]","Dove avete vissuto tu e i tuoi genitori per la maggior parte della vita? [Tua madre]","Dove avete vissuto tu e i tuoi genitori per la maggior parte della vita? [Tuo padre]","C'è qualcuno nella tua famiglia che fuma abitualmente?","Nella tua compagnia abituale c'è qualcuno che fuma?","Conosci gli effetti che il fumo provoca sull'organismo?","Ti preoccupano gli effetti che il fumo provoca sull'organismo?","Quante volte alla settimana pratichi sport?","Che genere di musica ascolti abitualmente?","Hai qualche problema respiratorio? (Ad esempio asma, tosse, fiato corto, ecc...)","Qual è il tuo genere?","Che classe frequenti?","Dove vivi?"
"2023/03/06 12:57:23 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","3","3","3","Rock;Hip hop","No","Maschio","4^","In città"
"2023/03/06 12:57:24 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Padre;Madre","No, nessuno","5","5","1","Rock;Indie;Pop;Classica","No","Maschio","3^","In provincia"
"2023/03/06 12:57:26 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Padre","Sì, tutti o quasi","4","3","2","Trap;Rock;Indie;Pop","No","Femmina","5^","In provincia"
"2023/03/06 12:57:30 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","1","Indie;Pop","No","Femmina","3^","In provincia"
"2023/03/06 12:57:33 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","4","4","2","Reggaeton;Pop;Hip hop","No","Femmina","5^","In città"
"2023/03/06 12:57:35 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","5","6","Rock;Pop","No","Maschio","5^","In città"
"2023/03/06 12:57:39 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","3","Trap;Rock;Pop;Hip hop","No","Maschio","3^","In provincia"
"2023/03/06 12:57:41 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","5","Trap","No","Maschio","3^","In città"
"2023/03/06 12:57:41 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Padre","Sì, tutti o quasi","4","4","3","Indie;Pop;Hip hop","No","Femmina","3^","In provincia"
"2023/03/06 12:57:44 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","4","3","Non pratico sport","Trap;Pop;Hip hop","Sì","Femmina","3^","In città"
"2023/03/06 12:57:51 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","3","5","6","Rock;Indie;Hip hop","No","Femmina","2^","In provincia"
"2023/03/06 12:57:53 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","5","2","Trap;Indie;Pop","No","Femmina","3^","In provincia"
"2023/03/06 12:57:54 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Padre","Sì, ma solo qualcuno","5","5","5","Trap;Reggaeton;Rock;Indie;Pop;Hip hop;Classica;Neo melodico ","No","Maschio","1^","In città"
"2023/03/06 12:57:55 PM EET","Sì","Sigarette elettroniche","Tra i 5 e i 10 ml","","","Sì, regolarmente ogni giorno","Tutti i miei amici/compagni","Quando esco con gli amici;Quando sono teso/a;quando mi sento annoiato/a;appena sveglio;andando o tornando da scuola","Per curiosità","No, ma vorrei ridurre il numero di sigarette","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","5","5","5","Trap","No","Maschio","4^","In città"
"2023/03/06 12:57:57 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno;Padre","Sì, ma solo qualcuno","3","4","4","Trap;Pop","Sì","Maschio","5^","In provincia"
"2023/03/06 12:58:00 PM EET","Sì","Tabacco trinciato (sigarette rollate)","","Tra le 10 e le 20 sigarette circa","","Sì, ma non tutti i giorni (es: nei week end, in vacanza, ecc)","Anche i miei genitori","andando o tornando da scuola","Per stress","No, ma vorrei ridurre il numero di sigarette","Italia","Italia","Italia","Madre","Sì, tutti o quasi","5","4","3","Trap;Hip hop","No","Maschio","5^","In città"
"2023/03/06 12:58:02 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Fratelli/sorelle","Sì, ma solo qualcuno","4","4","2","Trap;Indie;Pop","No","Femmina","3^","In città"
"2023/03/06 12:58:03 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","4","4","4","Trap;Pop","No","Femmina","2^","In città"
"2023/03/06 12:58:04 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","5","1","Rock;Pop;Hip hop","No","Femmina","5^","In città"
"2023/03/06 12:58:07 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Padre","Sì, ma solo qualcuno","5","5","Non pratico sport","Trap","No","Femmina","1^","In città"
"2023/03/06 12:58:07 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","4","Rock;Indie;Pop","No","Maschio","5^","In città"
"2023/03/06 12:58:08 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","5","5","Hip hop","No","Maschio","3^","In provincia"
"2023/03/06 12:58:09 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","5","4","Trap;new york drill herrooheroooherooo","No","Maschio","3^","In provincia"
"2023/03/06 12:58:09 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","4","Reggaeton;Pop","No","Femmina","5^","In città"
"2023/03/06 12:58:13 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","3","2","Non pratico sport","Rock;Pop;Hip hop","No","Femmina","5^","In città"
"2023/03/06 12:58:13 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Padre;Madre","Sì, ma solo qualcuno","4","4","Non pratico sport","Trap;","No","Femmina","3^","In città"
"2023/03/06 12:58:14 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","5","3","Rock;Indie;Pop;Hip hop;Classica","No","Femmina","5^","In città"
"2023/03/06 12:58:16 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Fratelli/sorelle","Sì, tutti o quasi","5","3","4","Trap;Reggaeton;Pop","No","Femmina","2^","In città"
"2023/03/06 12:58:18 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","5","1","Pop;Classica","Sì;No","Femmina","3^","In città"
"2023/03/06 12:58:19 PM EET","No","","","","No, mai fumato","","","","","","Italia","Estero","Italia","Nessuno","Sì, ma solo qualcuno","4","4","Non pratico sport","Trap;Reggaeton","No","Femmina","2^","In provincia"
"2023/03/06 12:58:19 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","4","Non pratico sport","Rock;Hip hop","No","Femmina","3^","In città"
"2023/03/06 12:58:20 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","4","4","Non pratico sport","Trap;Reggaeton","No","Femmina","3^","In città"
"2023/03/06 12:58:29 PM EET","Sì","Sigarette elettroniche","Meno di 5 ml","","","Sì, ma non tutti i giorni (es: nei week end, in vacanza, ecc)","Tutti i miei amici/compagni","Quando esco con gli amici;Quando sono teso/a;quando mi sento annoiato/a","Perchè fumavano i miei amici","No, per ora voglio continuare","Italia","Italia","Italia","Madre","Sì, ma solo qualcuno","4","3","3","Reggaeton;Pop;Classica","No","Femmina","5^","In provincia"
"2023/03/06 12:58:33 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","4","5","5","Pop","No","Femmina","5^","In città"
"2023/03/06 12:58:33 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","4","4","2","Pop;Hip hop","No","Femmina","3^","In città"
"2023/03/06 12:58:42 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Estero","Padre","Sì, ma solo qualcuno","5","5","5","Trap;Rock;Hip hop","Sì","Maschio","3^","In provincia"
"2023/03/06 12:58:44 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Padre","No, nessuno","3","3","3","Trap;Pop","No","Femmina","2^","In provincia"
"2023/03/06 12:58:49 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Padre","No, nessuno","4","5","3","Indie;Pop","No","Femmina","4^","In città"
"2023/03/06 12:58:55 PM EET","No","","","","No, mai fumato","","","","","","Italia","Estero","Italia","Nessuno","No, nessuno","5","5","Tutti i giorni della settimana","Rock;Pop;Phonk ","No","Maschio","2^","In provincia"
"2023/03/06 12:58:58 PM EET","Sì","Tabacco trinciato (sigarette rollate)","","Più di 70 sigarette","","Sì, regolarmente ogni giorno","Anche i miei genitori","appena sveglio;Tra il primo e il secondo di un piatto","Per sentirmi accettato/a nel gruppo","Sì e penso che lo farò a breve","Italia","Italia","Italia","Nessuno","No, nessuno","5","1","Non pratico sport","Classica","Sì","Preferisco non rispondere","1^","In provincia"
"2023/03/06 12:59:02 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","4","4","Non pratico sport","Pop","No","Femmina","4^","In città"
"2023/03/06 12:59:02 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","3","4","Trap;Hip hop","No","Maschio","4^","In provincia"
"2023/03/06 12:59:04 PM EET","Sì","Tabacco trinciato (sigarette rollate)","","Tra le 50 e le 70 sigarette circa","","Sì, regolarmente ogni giorno","Anche i miei genitori","Quando esco con gli amici;Quando sono teso/a;quando mi sento annoiato/a;appena sveglio;andando o tornando da scuola","Per curiosità","No, per ora voglio continuare","Italia","Italia","Italia","Madre","Sì, ma solo qualcuno","5","3","2","Rock;Indie;Metal","No","Maschio","4^","In città"
"2023/03/06 12:59:04 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia;Estero","Estero","Nessuno","Sì, ma solo qualcuno","2","5","1","Kpop (bts) ","No","Femmina","2^","In provincia"
"2023/03/06 12:59:14 PM EET","No","","","","Sì, fumavo regolarmente, ma poi ho smesso","","","","","","Italia","Italia","Italia;Estero","Nessuno","Sì, tutti o quasi","2","4","2","Rock;Indie;Pop","No","Femmina","4^","In città"
"2023/03/06 12:59:17 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","3","2","Trap;Indie;Pop;Hip hop","No","Femmina","4^","In provincia"
"2023/03/06 12:59:20 PM EET","No","","","","No, mai fumato","","","","","","Italia","Estero","Estero","Nessuno","Sì, ma solo qualcuno","5","5","Non pratico sport","Trap;Pop;Hip hop","Sì","Maschio","5^","In provincia"
"2023/03/06 12:59:29 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","3","5","3","Trap;Reggaeton;Pop","No","Maschio","2^","In provincia"
"2023/03/06 12:59:31 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","4","5","2","Pop;Hip hop","No","Femmina","4^","In provincia"
"2023/03/06 12:59:44 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","3","5","Trap;Pop","No","Maschio","3^","In città"
"2023/03/06 12:59:45 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Padre","Sì, tutti o quasi","5","5","2","Pop","No","Femmina","5^","In città"
"2023/03/06 12:59:47 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","5","5","Trap;Pop","No","Femmina","2^","In città"
"2023/03/06 12:59:47 PM EET","No","","","","No, mai fumato","","","","","","Italia","Estero","Italia","Nessuno","No, nessuno","3","5","Non pratico sport","Indie;Pop","No","Femmina","3^","In città"
"2023/03/06 12:59:49 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","4","5","Pop","No","Femmina","4^","In città"
"2023/03/06 12:59:54 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","4","5","1","Un po’ tutto","No","Femmina","3^","In città"
"2023/03/06 1:00:00 PM EET","Sì","Sigarette normali","","Meno di 10 sigarette","","Sì, ma non tutti i giorni (es: nei week end, in vacanza, ecc)","Tutti i miei amici/compagni","Quando esco con gli amici;Quando sono teso/a;quando mi sento annoiato/a;Dopo i pasti","Perchè fumavano i miei amici","No, per ora voglio continuare","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","5","3","Trap;Pop;Hip hop","No","Maschio","5^","In città"
"2023/03/06 1:00:01 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Padre;Madre","Sì, ma solo qualcuno","5","1","Non pratico sport","Trap;Hip hop","No","Maschio","2^","In provincia"
"2023/03/06 1:00:03 PM EET","No","","","","No, mai fumato","","","","","","Italia","Estero","Italia","Nessuno;Padre","No, nessuno","5","2","Non pratico sport","Indie","Sì","Maschio","3^","In provincia"
"2023/03/06 1:00:07 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","4","3","4","Trap;Indie;Pop;Hip hop","No","Maschio","4^","In provincia"
"2023/03/06 1:00:07 PM EET","Sì","Tabacco trinciato (sigarette rollate)","","Tra le 10 e le 20 sigarette circa","","Sì, regolarmente ogni giorno","Anche i professori o altri adulti","Quando esco con gli amici;andando o tornando da scuola","Per curiosità","No, per ora voglio continuare","Italia","Italia","Italia","Padre","Sì, ma solo qualcuno","5","3","3","Rock;Indie;Pop;Hip hop","No","Femmina","5^","In provincia"
"2023/03/06 1:00:12 PM EET","No","","","","No, mai fumato","","","","","","Italia","Estero","Estero","Nessuno","Sì, ma solo qualcuno","5","3","Non pratico sport","Classica","No","Femmina","3^","In città"
"2023/03/06 1:00:16 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Madre","Sì, ma solo qualcuno","5","5","3","Trap","No","Maschio","5^","In città"
"2023/03/06 1:00:17 PM EET","Sì","Tabacco trinciato (sigarette rollate)","","Più di 70 sigarette","","Sì, regolarmente ogni giorno","Anche i miei genitori","Quando esco con gli amici;Quando sono teso/a;quando mi sento annoiato/a;andando o tornando da scuola","Per stress","No, ma vorrei ridurre il numero di sigarette","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","5","2","2","Trap;Pop;Hip hop","No","Maschio","4^","In città"
"2023/03/06 1:00:20 PM EET","No","","","","No, mai fumato","","","","","","Italia","Estero","Estero","Nessuno","Sì, ma solo qualcuno","4","4","4","Trap;Pop;Hip hop","No","Maschio","3^","In provincia"
"2023/03/06 1:00:21 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","4","Pop","No","Femmina","1^","In città"
"2023/03/06 1:00:27 PM EET","Sì","Sigarette normali","","Tra le 20 e le 30 sigarette circa","","Sì, regolarmente ogni giorno","Nessuno o 1-2 amici","Quando sono teso/a;andando o tornando da scuola;Passeggiando nella natura","Per curiosità","No, ma vorrei ridurre il numero di sigarette","Italia","Italia","Italia","Nessuno","No, nessuno","5","4","5","Rock;Pop;Hip hop;Punk rock, elettronica","No","Maschio","5^","In città"
"2023/03/06 1:00:28 PM EET","Sì","Sigarette elettroniche","Meno di 5 ml","","","No, solo saltuariamente","Nessuno o 1-2 amici","Quando esco con gli amici","Per curiosità","No, per ora voglio continuare","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","3","3","Reggaeton;Pop","Sì","Femmina","3^","In città"
"2023/03/06 1:00:29 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","3","4","1","Pop","No","Maschio","3^","In città"
"2023/03/06 1:00:30 PM EET","No","","","","No, mai fumato","","","","","","Estero","Estero","Italia","Nessuno","No, nessuno","3","3","3","Pop","No","Femmina","2^","In città"
"2023/03/06 1:00:30 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","Sì, tutti o quasi","4","4","4","Reggaeton;Rock;Pop","No","Femmina","4^","In città"
"2023/03/06 1:00:36 PM EET","Sì","Tabacco trinciato (sigarette rollate)","","Meno di 10 sigarette","","No, solo saltuariamente","Nessuno o 1-2 amici","quando mi sento annoiato/a","Per curiosità","No, per ora voglio continuare","Italia","Italia","Italia","Padre","Sì, ma solo qualcuno","5","3","4","Rock;Indie;Hip hop","No","Maschio","2^","In città"
"2023/03/06 1:00:48 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","5","2","Rock;Indie;Pop","No","Femmina","1^","In città"
"2023/03/06 1:00:50 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","3","5","Indie;Pop","Sì","Femmina","3^","In provincia"
"2023/03/06 1:01:00 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","5","4","Trap;Pop;Hip hop","No","Maschio","4^","In città"
"2023/03/06 1:01:02 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","No, nessuno","5","2","4","Trap","No","Femmina","2^","In città"
"2023/03/06 1:01:06 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia;Estero","Italia","Nessuno","Sì, ma solo qualcuno","5","3","Non pratico sport","Trap;Pop;Hip hop","No","Femmina","5^","In città"
"2023/03/06 1:01:11 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","5","3","Non pratico sport","Pop","No","Femmina","1^","In provincia"
"2023/03/06 1:01:11 PM EET","No","","","","No, mai fumato","","","","","","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","5","3","Pop","No","Femmina","3^","In città"
"2023/03/06 1:01:14 PM EET","Sì","Sigarette al tabacco riscaldato (iqos)","","Tra le 10 e le 20 sigarette circa","","Sì, ma non tutti i giorni (es: nei week end, in vacanza, ecc)","Anche i miei genitori","Quando esco con gli amici;Quando sono teso/a","Per curiosità","Sì, ma non so come fare","Italia","Italia","Italia","Nessuno","Sì, ma solo qualcuno","4","5","3","Trap;Reggaeton;Pop;Hip hop","No","Femmina","3^","In città"
"2023/03/06 1:01:14 PM EET","No","","","","Sì, ma solo qualche volta","","","","","","Italia","Italia","Italia","Madre","Sì, ma solo qualcuno","3","2","4","Hip hop","No","Maschio","4^","In città"
